ac_id,group,criterion_summary,required_evidence_summary,product_module,earliest_phase,gate_dependency,status
AGENT-HANDOFF-AC-01,Forge coding product,Sarah can raise a cited design defect through the internal Agent Coordination Channel and a developer worker can reproduce and propose a minimal fix while both keep isolated worktrees and scopes.,"Synthetic Sarah-to-developer journey with cited design node, accepted/rejected escalation, missing-context request, isolated worktrees, cancellation, no-external-post assertion and lineage receipt.",Forge,4,None,not-started
SWE-IDE-AC-01,Forge coding product,"A supported IDE opens the exact workspace, worktree, file and symbol and preserves dirty buffers, encoding, line endings, selection and newer disk state while using reviewed adapters.","VS Code-compatible plus one approved native or alternate IDE journey, dirty-buffer/concurrent-edit conflict, semantic-rename preview and debugger-expression risk tests.",Forge,2,None,not-started
GIT-SAFETY-AC-01,Forge coding product,"Forge records repo, worktree, HEAD, branch, remote and full dirty state before mutation, preserves tracked, staged, untracked, ignored and concurrent work, and never hides history rewrites.","Dirty-tree matrix, concurrent editor, branch/worktree switch, rebase/cherry-pick/revert/bisect/conflict, crash/reconnect, byte preservation, signing and force-push denial.",Forge,2,None,not-started
SWE-TEST-AC-01,Forge coding product,"Forge derives repo-authoritative runtimes, package manager, lockfile, build and test commands, reviews dependency and script changes, and cannot weaken tests or coverage merely to pass.","Multi-language fixture with package-manager mismatch, malicious install script, typosquat, unsigned binary, unexpected network access, lockfile change, flake and test-deletion denial.",Forge,2,None,not-started
SWE-QA-AC-01,Forge coding product,"Browser QA produces a replayable clean-profile proof bundle covering DOM/CSS/accessibility, console/network, storage, responsive and cross-browser behavior plus declared extension surfaces.","Chrome/Safari/Firefox capability matrix and only applicable extension install/update/uninstall, background, content-script, popup, options and side-panel journeys, redaction and env hashes.",Forge,2,None,not-started
SWE-API-AC-01,Forge coding product,"API tooling resolves the exact schema, protocol, endpoint, environment and account, shows the complete redacted request, and tests auth, TLS, CORS, pagination, limits, retries and replay.","Protocol fixtures, wrong environment/account, changed payload, secret/redaction, duplicate side effect, certificate/proxy and contract-regression tests.",Forge,4,None,not-started
SWE-DATA-AC-01,Forge coding product,"Database, cache, search, queue and object-store inspection is bounded, least-privilege and redacted; destructive plans state resources, estimates, backups, rollback limits and verification.","Local/test positive cases plus production write, destructive DDL, PII export, stale backup, queue redrive and wrong-environment denials.",Forge,4,None,not-started
SWE-INFRA-AC-01,Forge coding product,"Every container, VM, cloud, Kubernetes and IaC operation resolves exact provider, account, region and namespace and inspects resolved configuration, privileges, secrets and digests first.","Rootless container/Compose fixture, malicious include/mount, wrong cloud/kube context, loopback port-forward, Helm/Kustomize/IaC plan, secret scan and production-mutation gate.",Forge,4,None,not-started
SWE-CI-AC-01,Forge coding product,"Forge inspects the exact pipeline commit, DAG, logs and artifacts, classifies causal failure versus flake before a bounded retry, and binds approval to provider, ref, job and variables.","Deterministic/flaky/infrastructure/downstream fixtures, changed-ref/variable denial, artifact quarantine and local-equivalent comparison.",Forge,3,None,not-started
SWE-OBS-AC-01,Forge coding product,"Debugging and incident analysis correlate commit, release, flag, logs, metrics, traces, profiles and authorized session evidence into fact, hypothesis, check and conclusion with source and timezone.","Fault-injected browser/service/Mac journey, Sentry/OpenTelemetry-style correlation, profile/trace evidence, cleanup and secret/customer-data redaction tests.",Forge,4,None,not-started
SWE-SEC-AC-01,Forge coding product,"Security review reconciles secret, SAST, DAST, dependency, container, IaC, license, SBOM, signature and provenance findings by version, reachability and exposure, then verifies minimal remediation.","Seeded true/false findings, vulnerable dependency path, prompt-injection boundary, SBOM/provenance and unauthorized-scan or exploitation denial.",Forge,4,None,not-started
SWE-RELEASE-AC-01,Forge coding product,"A release packet contains exact version, changelog, commits, tests, CI, signed artifacts, SBOM, flags, rollout checks, owners and tested rollback; publication needs T2/T3 approval.","Staging/canary fixture, changed artifact/signature invalidation, failed health check, rollback and post-deploy verification.",Forge,4,None,not-started
SWE-ONCALL-AC-01,Forge coding product,"An alert starts a deduplicated read-only Incident Intake, resolves exact service, environment and deployment and drafts mitigation, but cannot acknowledge, remediate or resolve itself.","Duplicate/stale/wrong-service alert, runbook failure, approval expiry, handoff, rollback and independently verified recovery tests.",Forge,4,None,not-started
SWE-E2E-AC-01,Forge coding product,"The senior-engineer corpus covers onboarding through documentation across every named engineering family, each journey explicitly shipped, degraded, takeover, roadmap or unsupported.","At least one full synthetic day plus positive, denied, interrupted, crash/reconnect and recovery variants for every shipped family, one canonical task ID and audit reconciliation.",Forge,4,None,not-started
COUNSEL-AC-01,Counsel meeting product,"Counsel completes a meeting workflow with Command stopped, then submits a reviewed meeting-context proposal to the canonical Assembler; it cannot seal a pack, patch TASK or hand off to Forge.","Standalone meeting demo, proposal receipt and proof that only the Assembler can produce the later TASK candidate.",Counsel,5,None,not-started
COUNSEL-AC-02,Counsel meeting product,"Counsel distinguishes direct assistant speech, dictation, human conversation, meeting mode, the user, other speakers, media and assistant echo; ordinary meeting speech never becomes an OS command.","Accent, crosstalk, interruption, media, wrong-speaker, false-trigger and mode-correction evaluations.",Counsel,5,None,not-started
COUNSEL-AC-03,Counsel meeting product,Personal Overlay supplies compact and expanded controls plus supported self-capture exclusion but never claims undetectability; preflight shows what others may see and fails closed where unverified.,"Versioned Zoom/Meet/Teams/Webex/Slack matrix, share/recording preview, multi-display test and unsupported-case warning.",Counsel,5,None,not-started
COUNSEL-AC-04,Counsel meeting product,"Mandatory preflight verifies sources, levels, transcript, overlay visibility, provider egress, retention, policy and per-participant consent before capture; withdrawals take effect at once.",Positive/denied/withdrawal/late-join/source-change tests and consent-ledger evidence.,Counsel,5,None,not-started
COUNSEL-AC-05,Counsel meeting product,"Assist-only retain-nothing leaves no persistent audio, transcript, screenshot, embedding, summary, memory, analytics payload, backup or training example beyond the disclosed minimal audit residue.","Post-session filesystem, database, vector, cache and backup inspection.",Counsel,5,None,not-started
COUNSEL-AC-06,Counsel meeting product,"Live suggestions prioritize other-speaker questions and give a short say-this, key points, citations, source age, confidence and verified/inference state without auto-speaking or sending.","p50/p95 latency, WER/diarization, churn, missed-question, wrong-speaker, citation precision, factuality and stale-source evaluation.",Counsel,5,None,not-started
COUNSEL-AC-07,Counsel meeting product,"Visual context is explicitly selected, previewed, redacted, timestamped, cited and deletable; unrelated screens, notifications, password fields and private chats are not captured by default.","Window/slide/manual-screenshot selection, provider-egress, deletion and leakage tests.",Counsel,5,None,not-started
COUNSEL-AC-08,Counsel meeting product,"Human notes stay separate and byte-preserved, the source transcript is append-only, corrections and AI notes are versioned overlays, and decisions/actions carry explicit lifecycle states.","Lineage/hashes, crash recovery, correction, note-preservation and lifecycle-transition tests.",Counsel,5,None,not-started
COUNSEL-AC-09,Counsel meeting product,"Consent-scoped recurring timelines, Answer Cards, summaries and meeting-context proposals show provenance, freshness, ACL and review; no unreviewed answer becomes memory or training data.","Recurring-meeting demo with conflicts, expiry, owner acceptance, Assembler lineage and rejected-learning test.",Counsel,5,None,not-started
COUNSEL-AC-10,Counsel meeting product,"Sharing or sending always shows exact recipients, account, domains, content, time range, redactions, permissions, expiry and revoke path and requires T2 approval; Counsel's MCP stays read-only.",Send-preview/changed-payload denial and positive/negative MCP authorization receipts.,Counsel,5,None,not-started
